,Название фильма,Дата начала показа фильма,Аннотация,Вид Фильма,Категория,Цвет,"Продолжительность демонстрации, часы","Продолжительность демонстрации, минуты",Формат носителя,Студия-производитель,Страна производства,Год производства,Режиссер,Художник,Сценарист,Оператор,Композитор,Продюсер,Возрастная категория
345288,Статус жертвы,2018-08-14,Документальный фильм,Документальный,Кино,Цветной,0.0,33.0,BETACAM–кассета,Всероссийский государственный институт кинематографии им. С.А.Герасимова,Россия,2018,Ю.Бобкова,,Ю.Бобкова,"Р.Малышев, В.Егоров",М.Черезов,Т.Степанова,16+
345290,НЕФТЯНИКИ СУРГУТА,2018-08-20,Документальный фильм,Документальный,Кино,Цветной,0.0,52.0,BETACAM–кассета,"РОО ""Ассоциация ""Наше кино""",Россия,2017,В.Кильчевская,,О.Дёмина,"Е.Лопаткин, С.Дьячков, С.Комаров, Д.Якубов, А.Сурков и др.",,А.Эмир-Шах,12+
345291,ОТ СЛАВНОГО ПРОШЛОГО К УСПЕШНОМУ БУДУЩЕМУ,2018-08-06,Документальный фильм,Документальный,Кино,Цветной,1.0,94.0,BETACAM–кассета,"РОО ""Ассоциация ""Наше кино""",Россия,2017,В.Кильчевская,,О.Дёмина,"Е.Лопаткин, С.Дьячков, С.Комаров, Д.Якубов, А.Сурков и др.",,А.Эмир-Шах,12+
345297,Семь пар нечистых,2018-08-15,Военный фильм,Художественный,Кино,Цветной,1.0,87.0,HDD,"ООО ""Киностудия ""АРК-ФИЛЬМ""",Россия,2018,"К.Белевич (псевдоним - Кирилл Астахов), Г.Ильин",П.Пархоменко,"М.Беленький, Ю.Беленький, С.Калужнов",А.Найденов,Д.Даньков,Д.Потемкин,16+
345298,Апостол Камчатки,2018-08-21,Документальный фильм,Документальный,Кино,Цветной,0.0,27.0,BETACAM–кассета,"ООО ""ЛВ ФИЛЬМ""",Россия,2018,"В.Хохлов, К.Ляшенко",,"В.Хохлов, К.Ляшенко","А.Лебедев, А.Калашников",А.Самохин,Ю.Бабаханов,6+
345299,Узбекистан. Обретенные откровения,2018-08-17,Документальный фильм,Документальный,Кино,Цветной,0.0,52.0,BETACAM–кассета,"ООО ""ГОЛД МЕДИУМ""",Россия,2017,В.Белов,,Т.Басова,"М.Тимофеев, К.Хатамкулов",Р.Шухран,А.Горовацкий,12+
345300,Коктебель. Заповедная зона,2018-08-17,Документальный фильм,Документальный,Кино,Цветной,0.0,44.0,BETACAM–кассета,"ООО ""ГОЛД МЕДИУМ""",Россия,2017,И.Волосецкий,,Л.Зелеранская (псевдоним - Лариса Максимова),Д.Антонов,В.Романычев,А.Горовацкий,12+
345303,Магазинные воришки,2018-09-20,"Драма о небольшой семье бедного японского рабочего, в которой каждый зарабатывает как может, в том числе и подворовывая в магазинах.Однажды на улице они подбирают голодную маленькую девочку...",Художественный,Кино,Цветной,2.0,120.0,HDD,"Гага, Фуджи ТиВи Мувис, Аой Промоушн",Япония,2018,Хирокадзу Корээда,"Кэйко Мицумацу, Кадзуко Куросава, Акико Мацуба",Хирокадзу Корээда,Рюто Кондо,Харуоми Хосоно,,16+
345304,Общие интересы,,Мелодрама о писательнице и ее любовнике,Художественный,Кино,Цветной,1.0,107.0,HDD,Афиногенова С.В.,Россия,2018,С.Афиногенова,,"С.Афиногенова, М.Пинхасова",А.Галкин,Ю.Фаертаг,С.Афиногенова,18+
345305,Вилли и крутые тачки,2018-08-16,Детский анимационный фильм об автомобиле по имени Виили,Анимационный,Кино,Цветной,1.0,90.0,HDD,Картун Студиос,Малайзия,2018,Карл Мендес,,"Кит Брамптон, Питер Хайнс, Юсри А.Халим",,Риза Рамзи,"Норман А.Халим, Ширин М.Хашим",6+
345307,Вне Игры (серии 1-12),2018-08-21,"Спорт, драма, комедия",Художественный,Кино,Цветной,4.0,288.0,HDD,"ООО ""Старт Студио""",Россия,2017,"В.Шамиров, Д.Балинова, Р.Хачмамук",Н.Васенина,"В.Шамиров, Р.Хачмамук","К.Бегишев, М.Халухаев",Д.Воронцов,"А.Троцюк, Э.Илоян, В.Шляппо, Д.Жалинский",16+
345308,Как женить холостяка,2018-08-30,Романтическая комедия,Художественный,Кино,Цветной,1.0,90.0,HDD,"Тефиц, СиАйЭсЭс, Чапмэн-Леонард, Компани3, ГринСлэйт, Сервис Фиш",США,2018,Виктор Левин,Том Кастроново,Виктор Левин,Джорджо Скали,Уильям Росс,Роберт Джонс,18+
345309,Мара. Пожиратель снов ,2018-09-06,Фильм ужасов,Художественный,Кино,Цветной,1.0,98.0,HDD,"Мун Ривер Студиос, Гродник-Эйлоу Продакшнс, Э Брайте Хеадейк, Диджитал Игнишн Интертейнмент, Мэн Мэйд Филмз, Рум 101, Синкронисити Интертейнмент",Великобритания - США,2018,Клайв Тонг,Нава,Джонатан Фрэнк,Эмиль Топузов,Джеймс Эдвард Баркер,"Джейк Шапиро, Дэниэл Гродник, Мэри Эйлоу, Крэйг Чэпмен",18+
345311,Память крови,2018-09-15,О творчестве Юрия Соломина,Научно-популярный,Кино,Цветной,1.0,60.0,DVD,"ООО ""Правовая помощь""",Россия,2018,Д.Курочка (псевдоним Денис Бродский),А.Булахова,Д.Курочка (псевдоним Денис Бродский),А.Галкин,,Д.Курочка (псевдоним Денис Бродский),12+
345312,"Анимационный альманах ""Ладушки"" (ф. ""Ладушки"")",2018-08-23,Анимация для детей,Анимационный,Кино,Цветной,0.0,20.0,BETACAM–кассета,"ООО Студия ""Мастер-Фильм""",Россия,2018,"Р.Газизов, А.Исрафилова, М.Конева","Е.Астрецова, А.Ромашова, Е.Фадеев","Н.Беленкина, М.Сычева, А.Соколова, Н.Степанова",,А.Просвирнин,А.Герасимов,6+
345314,Мир принадлежит тебе,2018-09-13,Криминальная комедия,Художественный,Кино,Цветной,1.0,100.0,HDD,"Иконокласт, Чи-Фоу-Ми Продакшнз, Трибус Пи Фильм",Франция,2018,Ромен Гаврас,"Ханна Эдвардс, Клара Альварез","Карим Букерша, Ноэ Дебре, Ромен Гаврас",Андре Шеметофф,Джеми ХХ,"Шарль-Мари Антониоз, Мурад Белкеддар, Жан Дюамель, Никола Лермитт, Винсент Мазель, Хьюго Селиньяк",18+
345315,Захочу и соскочу. Супергерои,2018-11-01,"Комедия о заключенных, обезвредивших маньяка-мстителя.",Художественный,Кино,Цветной,1.0,102.0,HDD,"Фанданго, Эсент Фильм, РАИ Чинема",Италия,2017,Сидней Сибилиа,,"Валерио Аттаназио, Андреа Гарелло, Сидней Сибилиа",Владан Радович,Анджело Бонанни,"Доменико Прокаччи, Маттео Ровере",16+
345318,Игра в классики,2018-09-01,Документальный фильм,Документальный,Кино,Цветной,0.0,54.0,BETACAM–кассета,"ООО ""Мастерская Марины Разбежкиной""",Россия,2018,Д.Демура,,Д.Демура,Д.Демура,,М.Разбежкина,16+
